result,time,hand,states,path
success,1969,OQRTTZ,151418,78
fail,1489,BDLOUZ,128386,
success,2734,ORTVVX,212161,65
success,71616,AGRTTV,5685172,80
success,18345,BFOPRV,1205567,77
exhaust,155000,BDGOUZ,,
success,1141,FFGOVZ,86780,71
success,12049,AFFORW,979011,69
success,4877,ADORVV,416357,65
success,99465,FLPTZZ,7455456,55
success,7191,FOVWXZ,540546,69
fail,117060,BGQSVW,9175149,
success,1860,AKPRWW,158308,72
success,1096,DGORRX,79405,68
fail,355,ABFLOR,35817,
fail,35,BDOOOW,2220,
success,32135,DOUVZZ,2528704,70
success,37595,DTTUVX,2951603,64
success,4836,BCLRTU,455148,62
exhaust,122679,OQTVVZ,,
success,24357,BDRVXZ,1757930,69
success,3833,DDOOVZ,240377,72
fail,855,OQTTXZ,59093,
success,1774,FLOSVX,142085,70
exhaust,143038,LQRVXX,,
success,8014,AGOTXZ,623057,69
success,3039,ORTVXZ,220742,72
success,38779,DRUVZZ,2761158,65
success,19571,DDLPSX,1411025,69
fail,183,LOXZZZ,14544,
success,3165,CGLQRW,226355,78
success,10493,ADDGKU,836177,64
fail,11,DFFVZZ,1005,
success,9490,ADOPWZ,819248,67
success,2393,FKLRVV,172076,68
fail,3646,DFLTUW,276523,
success,20119,AFPSTX,1289940,66
success,709,DDFOTV,59617,74
success,5348,CDRVXZ,315567,63
fail,41,DKLQVW,2192,
success,57147,OQRVZZ,4139833,79
success,1534,AKLORT,116526,71
success,1856,ACGPRZ,159996,71
success,826,GKUVXZ,49533,68
fail,27,AAOOTW,1404,
success,7550,OPTWXX,585669,61
fail,152,AFOTTU,11569,
fail,9,BFLOST,767,
fail,47,DFLOWZ,3297,
success,2588,RTUVWW,223242,73
success,2259,FGLVWX,175997,65
fail,6,DDFFVW,435,
success,82717,OOPTUX,5572532,73
success,1909,DFRRTU,119801,71
fail,67,ADFOQW,3408,
success,8648,ACORRV,602299,65
success,914,ALPTTX,59486,75
success,50698,GOSVXZ,3399991,74
success,4659,FRTVXZ,358476,67
success,3161,LOQTVX,238085,69
fail,337,ADDFFX,34362,
success,2025,AFORVV,119265,66
success,560,FLORUZ,46517,74
success,4877,CDGLOP,352734,68
success,9932,DOPVWW,655277,76
success,16019,DOOTVX,1140032,69
fail,20,FOQTZZ,1255,
success,4040,LQRTUX,264514,66
success,21449,DDGLUV,1533982,70
exhaust,127459,ADFGTZ,,
success,7712,DORUVV,491794,83
fail,214,AFLQXZ,14526,
success,1097,AGOTVX,76376,69
success,9854,DGOPST,722328,68
fail,36,DDLOTW,2596,
fail,37,DFLTWZ,2370,
success,3786,FGOUVX,274498,75
success,457,ADGLUV,35497,72
exhaust,157652,BDFRTX,,
success,17885,DDFFRV,1342161,69
success,1399,DFOORT,109314,75
success,4600,ABCLOX,325332,70
